Time;NumMsgSent;Distance;NodesLost;Targets_left
133,7855;3970;717,2744;0;0
146,3557;4069;829,7743;0;0
141,9875;4048;767,9749;0;0
148,5545;4160;791,548;0;0
136,8201;3940;716,2032;0;0
145,8529;3943;782,3005;0;0
142,2864;4059;752,494;0;0
145,2194;3954;779,8804;0;0
160,3201;4070;830,6082;0;0
134,4224;3963;726,0482;0;0
151,1873;4081;810,6866;0;0
133,4221;3963;711,7094;0;0
142,5523;3933;769,2927;0;0
138,8183;4026;754,9438;0;0
142,8201;4049;774,0687;0;0
128,1537;3769;716,0466;0;0
142,7203;4049;771,4182;0;0
142,5213;3933;772,9311;0;0
139,1873;4034;762,1979;0;0
147,1196;3955;779,5417;0;0
145,6537;3945;780,4368;0;0
141,8866;4042;755,329;0;0
142,9891;3940;771,3412;0;0
133,6202;3961;730,9961;0;0
133,7851;3971;722,8273;0;0
147,8205;4160;787,9044;0;0
137,0864;3867;794,7287;0;0
145,0432;4121;740,9099;0;0
144,72;3935;775,1819;0;0
140,6871;4001;739,9125;0;0
142,7256;4049;773,7707;0;0
144,4203;3945;785,859;0;0
146,1526;3940;771,9085;0;0
145,4591;3945;780,5183;0;0
141,0881;3907;766,3067;0;0
142,0196;4048;767,1803;0;0
145,1893;4107;739,9595;0;0
152,2871;3999;797,1954;0;0
142,7197;4048;767,9039;0;0
146,8537;4186;801,9982;0;0
141,863;4024;767,1829;0;0
145,0877;4121;738,6506;0;0
150,6538;4002;815,9051;0;0
142,7865;4055;772,6777;0;0
145,154;4121;740,6348;0;0
143,0513;3939;777,8635;0;0
164,8871;4243;883,7389;0;0
139,052;4010;769,3132;0;0
142,6541;4055;771,2751;0;0
