Time;NumMsgSent;Distance;NodesLost;Targets_left
139,1717;4254;765,6779;0;0
170,433;4891;875,9057;0;0
146,4391;4618;826,3159;0;0
246,4048;3215;688,174;3;0
169,7319;4811;887,0937;0;0
183,709;5174;982,5667;0;0
211,7409;5192;1075,4;0;0
166,3909;4841;914,0988;0;0
175,7468;4859;963,5564;0;0
185,2122;5016;948,8082;0;0
185,7071;4918;981,6941;0;0
183,0948;4943;957,2755;0;0
171,753;4830;943,5818;0;0
157,0761;4589;809,9093;0;0
183,0812;5027;979,523;0;0
180,5088;4807;944,754;0;0
166,3646;4869;895,9304;0;0
164,4356;4788;903,4818;0;0
180,3143;5028;968,0361;0;0
207,2317;5396;1084,195;0;0
178,9704;2463;651,472;2;0
176,391;4845;956,0957;0;0
185,6382;4894;1000,446;0;0
164,3853;4765;908,2363;0;0
201,6965;5001;993,5203;0;0
164,7613;4482;826,7563;0;0
194,5755;5055;1024,037;0;0
146,3741;4171;775,4878;0;0
174,9488;4789;930,6858;0;0
160,3869;4696;891,6826;0;0
169,0381;4874;935,6516;0;0
150,1897;4491;802,8299;0;0
900,4151;3716;796,798;6;4
183,0356;4863;998,7444;0;0
202,4112;4857;986,1715;0;0
183,0717;4786;930,0926;0;0
184,5134;4747;1013,929;0;0
181,0489;4865;983,2786;0;0
173,8602;4820;915,0688;0;0
197,6933;5048;1048,288;0;0
235,7595;4593;901,6911;2;0
181,055;4943;971,0598;0;0
185,7342;4792;954,4226;0;0
153,6847;4641;861,3016;0;0
312,2006;3409;854,4077;3;0
197,7138;5272;1050,814;0;0
177,7425;4777;964,4894;0;0
183,7726;5148;1026,397;0;0
171,7374;5034;922,7595;0;0
178,6945;4939;995,8326;0;0
179,9901;4982;993,2033;0;0
180,3903;4704;932,8362;0;0
175,0477;4815;908,9421;0;0
177,2437;4977;967,5501;0;0
275,085;3244;736,5052;3;0
301,6436;3413;797,1983;3;0
175,7309;4894;946,5903;0;0
251,7468;3263;699,9898;3;0
294,39;3409;821,5759;3;0
900,3816;4095;592,1477;6;13
165,8633;4687;894,4406;0;0
256,3754;3213;710,4689;3;0
141,2313;4221;780,0759;0;0
230,9205;4390;816,5393;2;0
253,653;3412;705,1331;3;0
155,2529;4661;837,0812;0;0
295,4995;3552;831,0814;3;0
185,6049;4782;965,6885;0;0
194,1986;5166;991,6651;0;0
155,2389;4537;861,6173;0;0
169,7401;4826;901,1542;0;0
143,8561;4286;777,8265;0;0
143,2235;4432;786,4618;0;0
145,2091;4493;802,8801;0;0
186,4811;4963;989,4881;0;0
158,9517;4380;825,719;0;0
158,5595;4373;851,2578;0;0
146,5441;4510;815,0513;0;0
151,813;4527;841,5747;0;0
190,5112;5013;995,4919;0;0
226,5286;5011;1045,484;0;0
145,8277;4297;750,6166;0;0
183,9695;4895;886,3014;0;0
171,9443;4678;905,8969;0;0
189,4822;4875;928,0356;0;0
198,439;5353;1109,225;0;0
153,8735;4513;790,3297;0;0
176,2077;4909;964,5398;0;0
204,4124;5258;1124,833;0;0
174,2126;5019;920,1566;0;0
180,6098;5011;984,3112;0;0
183,744;4766;1002,868;0;0
166,4061;4677;878,5037;0;0
161,1969;4866;872,307;0;0
150,9838;4477;827,7753;0;0
155,8014;4507;823,9872;0;0
162,8017;4684;862,9839;0;0
159,7535;4694;884,1936;0;0
166,9677;4843;894,15;0;0
