Time;NumMsgSent;Distance;NodesLost;Targets_left
900,2655;9997;1545,254;6;3
199,1031;4925;1001,988;0;0
188,3792;4794;973,832;0;0
195,758;5050;994,2556;0;0
221,0581;4731;519,3528;3;0
190,4039;4847;999,718;0;0
182,4132;4710;944,0839;0;0
195,7735;4960;970,9045;0;0
193,0671;4832;945,1743;0;0
205,7114;4987;1025,786;0;0
199,5374;5114;976,4749;0;0
206,4088;5000;985,9392;0;0
177,7212;4557;867,6835;0;0
205,0684;4656;984,6847;0;0
226,0559;5062;1113,109;0;0
182,3867;4531;880,0699;0;0
199,6237;4850;964,0643;0;0
186,397;4755;948,5536;0;0
189,6993;4788;958,6859;0;0
191,7548;4890;948,4502;0;0
202,3859;4602;976,78;0;0
177,7443;4394;864,8432;0;0
191,0576;4627;936,7051;0;0
194,3886;5012;1010,057;0;0
274,8929;5899;1279,438;0;0
209,7114;5095;1018,656;0;0
192,4469;4933;976,9835;0;0
200,327;4937;998,1776;0;0
201,1063;4949;915,9395;0;0
205,6493;4770;511,0213;3;0
209,1343;4993;973,3242;0;0
201,0616;5025;952,4782;0;0
216,4535;5187;1093,594;0;0
181,2121;4785;923,7294;0;0
242,9693;5448;1145,795;0;0
194,482;4981;982,7198;0;0
200,02;4968;942,778;0;0
201,051;4991;999,0543;0;0
196,9356;5012;996,6298;0;0
217,7058;5091;1111,179;0;0
201,1311;5144;1027,666;0;0
222,4229;5158;1094,965;0;0
203,698;5006;1042,37;0;0
202,3255;5001;1040,908;0;0
214,6943;5127;1059,405;0;0
194,4703;4847;932,3745;0;0
208,3291;5199;1009,8;0;0
172,4851;4614;901,4703;0;0
194,3933;4797;992,1949;0;0
189,1705;4635;967,6312;0;0
193,7915;4923;953,8416;0;0
206,4964;4929;1018,6;0;0
203,1251;5147;997,3522;0;0
233,0226;5304;1057,96;0;0
185,0408;4897;971,6711;0;0
193,8997;4897;976,7338;0;0
191,0833;4960;972,3647;0;0
180,363;4409;860,3499;0;0
272,3831;5860;1097,794;0;0
220,2799;5179;1108,513;0;0
181,5421;4817;922,0538;0;0
209,6787;5370;1068,869;0;0
188,3371;4935;962,1017;0;0
193,8194;4950;951,3184;0;0
272,3818;5659;1255,323;0;0
184,9939;4809;957,7898;0;0
184,5701;4770;928,3239;0;0
201,1391;5071;973,8651;0;0
210,4259;5072;1031,486;0;0
228,9573;5203;1177,759;0;0
183,7118;4818;965,9524;0;0
207,1296;5109;992,9938;0;0
212,42;5019;1023,361;0;0
234,4706;5488;1116,886;0;0
200,4904;5151;999,5223;0;0
201,1019;5085;1019,397;0;0
198,5108;5079;988,067;0;0
212,3275;5267;1057,71;0;0
195,0128;4884;991,85;0;0
199,1552;4931;1064,089;0;0
193,8232;4917;994,9202;0;0
194,343;4864;1012,838;0;0
185,0258;4853;960,1326;0;0
194,4136;4985;994,1064;0;0
197,3212;4967;1007,433;0;0
196,6647;4866;993,2241;0;0
204,5031;4947;1053,545;0;0
186,9542;4929;936,7736;0;0
275,7639;5588;1091,05;0;0
191,6886;4940;937,3983;0;0
178,6076;4852;919,7808;0;0
196,4231;5001;947,3062;0;0
199,8006;4608;1010,719;0;0
218,7693;5192;1098,525;0;0
184,0292;4744;969,2377;0;0
209,7502;4696;518,9836;3;0
200,4485;5035;1025,325;0;0
191,5878;4930;973,6896;0;0
287,0294;5715;988,0453;1;0
202,4785;4922;1044,59;0;0
210,0305;5223;1052,082;0;0
257,6079;5328;901,699;1;0
215,9678;5210;1063,726;0;0
180,6436;4676;888,1637;0;0
