Time;NumMsgSent;Distance;NodesLost;Targets_left
136,796;3354;686,8898;0;0
134,9202;3322;677,7108;0;0
165,8323;3945;805,3468;0;0
134,9209;3322;676,0669;0;0
224,2686;4928;1052,093;0;0
161,4379;3425;564,5027;1;0
133,4209;3312;706,6199;0;0
136,7855;3338;683,4049;0;0
136,966;3354;682,9548;0;0
135,9239;3338;673,1824;0;0
235,7187;5109;1097,816;0;0
136,3976;3338;674,8721;0;0
600,0327;11316;2167,86;6;1
136,3554;3338;682,6306;0;0
247,658;5388;1114,312;0;0
136,5525;3338;678,7041;0;0
135,7908;3338;675,168;0;0
267,4885;5699;1116,845;0;0
139,3129;3385;701,6736;0;0
279,3672;5877;1262,78;0;0
120,4523;3092;664,0284;0;0
267,0739;5666;1137,377;0;0
227,2626;5058;1008,27;0;0
137,1346;3354;682,6;0;0
136,2798;3354;675,7253;0;0
133,9605;3336;661,1157;0;0
136,4589;3358;675,1698;0;0
136,2999;3338;675,6992;0;0
600,022;10740;1815,732;6;1
198,7248;4237;819,0317;1;0
134,8952;3322;675,8875;0;0
163,4703;3776;836,0475;0;0
600,017;11775;2170,899;6;4
235,5333;5115;1039,865;0;0
134,9732;3322;679,9073;0;0
182,4778;4222;831,2132;0;0
136,6583;3362;683,1366;0;0
150,1321;3391;615,2009;1;0
136,3592;3348;674,5463;0;0
136,6344;3368;680,9216;0;0
