Time; NumMsgSent; Distance; NodesLost
134,8237;3860;737,7139;0;0
125,2055;3952;705,7402;0;0
143,287;3939;770,177;0;0
145,3867;3945;779,5261;0;0
142,6867;4055;772,2897;0;0
122,9202;3735;688,3536;0;0
142,8194;4055;773,2451;0;0
142,7519;4104;763,5156;0;0
145,3548;3945;778,929;0;0
145,5856;3943;780,9056;0;0
147,3521;3970;774,485;0;0
138,5507;3939;715,1424;0;0
134,387;3959;735,9603;0;0
138,121;3881;798,9667;0;0
141,9537;4048;766,4286;0;0
145,6186;3955;784,6011;0;0
130,0528;3833;704,3854;0;0
157,5537;4040;839,0049;0;0
146,4186;3940;772,9265;0;0
141,4196;4033;749,5929;0;0
135,3203;4067;725,9586;0;0
143,1543;3940;769,5909;0;0
133,9531;3962;725,0652;0;0
145,4526;3945;779,7026;0;0
141,4868;4033;764,5883;0;0
143,0877;3952;798,0547;0;0
142,9563;3934;764,6312;0;0
139,8544;3970;780,939;0;0
141,497;3917;768,2748;0;0
148,4208;4063;806,4857;0;0
154,4059;4048;863,4601;0;0
127,0533;3828;693,4458;0;0
145,2871;3959;810,5588;0;0
150,985;3998;843,9194;0;0
133,9194;3969;716,4004;0;0
145,119;4121;741,201;0;0
141,1774;3930;750,8325;0;0
145,1575;4121;740,7635;0;0
135,6184;4077;729,6851;0;0
148,0528;4088;804,5114;0;0
131,1864;3840;718,6089;0;0
134,4877;4067;722,0023;0;0
143,7534;4133;779,4791;0;0
144,262;3929;771,0261;0;0
149,621;3916;767,3904;0;0
138,3219;3939;718,8106;0;0
152,2868;4000;812,5659;0;0
139,1859;3986;752,1332;0;0
139,2869;4026;764,4218;0;0
