Time;NumMsgSent;Distance;NodesLost;NodesLost
432,437;6839;2631,229;0;0
197,8974;5170;1187,671;0;0
225,4478;5404;1253,367;0;0
210,2694;5381;1158,934;0;0
353,566;5932;2169,155;0;0
172,8654;4731;987,4229;0;0
194,2172;5071;1165,724;0;0
352,8548;6506;1448,356;0;0
166,3461;4386;991,3121;0;0
222,0474;5651;1090,368;0;0
228,9205;5472;1155,648;0;0
216,4303;5139;1067,012;0;0
162,9186;4189;840,9891;0;0
225,2258;5346;1090,624;0;0
209,2876;5240;1062,814;0;0
247,1573;5374;843,2079;1;0
233,3215;5436;1127,849;0;0
319,7264;6035;1330,219;0;0
160,3543;4134;840,4388;0;0
290,0592;5872;1244,689;0;0
232,8214;5434;1068,856;0;0
221,1206;5317;1104,557;0;0
235,6042;5392;1113,826;0;0
220,4989;5442;1084,034;0;0
230,4756;5541;1137,536;0;0
213,5858;5349;1086,175;0;0
236,2159;5663;1167,8;0;0
172,7974;4314;891,0137;0;0
260,6009;5672;1060,564;0;0
227,9998;5430;1082,996;0;0
207,7471;5102;1062,12;0;0
228,1723;5366;1167,651;0;0
236,69;5493;1132,884;0;0
223,6552;5468;1130,506;0;0
220,5114;5281;1114,833;0;0
192,7724;5002;1003,164;0;0
213,0045;5218;1046,898;0;0
213,5036;5282;1059,545;0;0
286,2793;6124;1349,594;0;0
