Time;NumMsgSent;Distance;NodesLost;Targets_left
263,7709;3513;683,2845;3;0
244,3958;5749;1100,637;0;0
211,2265;5473;1070,96;0;0
226,3934;5275;964,233;1;0
192,3908;5297;993,2299;0;0
198,3881;5428;988,7874;0;0
219,8083;5663;1044,472;0;0
218,3745;5733;1056,359;0;0
216,4228;5698;1033,984;0;0
213,7333;5818;1034,594;0;0
185,0708;4963;981,264;0;0
301,0581;6642;1268,479;0;0
187,0448;5188;780,2191;0;0
198,3897;5353;986,6539;0;0
199,0539;5460;986,4807;0;0
327,3471;6149;1349,226;1;0
190,4148;5450;966,1809;0;0
194,3851;5369;1022,551;0;0
211,738;5441;1104,779;0;0
192,3693;5305;995,1617;0;0
209,0807;5471;1057,327;0;0
285,0777;6354;1424,419;0;0
269,084;4778;918,2729;2;0
900,5408;1756;183,2858;6;12
319,0706;5962;1303,921;1;0
271,7041;6299;1300,169;0;0
189,5446;5333;1009,755;0;0
228,3222;5743;1109,063;0;0
297,1341;3640;778,3721;3;0
233,7124;5545;1010,761;1;0
226,4548;5433;978,9245;1;0
197,4147;5386;1007,264;0;0
211,7186;5368;1097,063;0;0
169,0647;4848;870,1254;0;0
242,4115;4942;813,4117;2;0
220,4473;5280;1137,419;0;0
220,4212;4724;957,3311;1;0
256,4018;6022;1258,539;0;0
260,4127;3357;711,563;3;0
276,8823;4514;961,982;2;0
167,0614;5051;915,7559;0;0
200,6334;5531;1063,896;0;0
222,6646;5314;1000,274;1;0
209,9397;5615;1030,825;0;0
215,2371;5531;1042,965;0;0
246,6848;5870;1160,334;0;0
195,2512;5595;1059,813;0;0
227,1867;4838;1100,028;0;0
233,2373;4829;1014,491;1;0
205,91;5591;1037,76;0;0
295,857;2231;550,5052;4;0
900,0375;8293;320,4617;6;15
265,958;3566;677,2942;3;0
275,9767;2186;497,1994;4;0
251,174;3522;618,2838;3;0
199,4114;659;329,8563;4;0
184,9563;5347;956,5606;0;0
174,3475;5129;932,3272;0;0
233,166;3324;583,4368;3;0
192,9341;4986;1021,661;0;0
275,2044;3647;696,4493;3;0
273,3508;5608;1146,778;0;0
188,8298;5417;992,3204;0;0
186,791;5148;941,1302;0;0
211,1434;5562;1147,705;0;0
253,0384;5955;1234,109;0;0
191,2983;5546;1011,724;0;0
231,1866;5700;1142,717;0;0
244,0525;5586;1058,823;1;0
228,6438;3777;962,3705;1;0
237,0905;732;426,9226;4;0
900,231;3106;349,06;6;16
265,3426;5853;1084,11;0;0
170,4088;5013;911,8459;0;0
245,6932;1951;364,2713;4;0
240,7732;4663;963,8656;1;0
194,9339;5375;1023,794;0;0
237,5385;3663;825,2128;2;0
900,1357;2747;496,1776;6;11
217,7964;3463;752,9113;2;0
359,9247;6050;1289,725;1;0
204,6188;5454;1066,124;0;0
279,9589;3944;807,9614;2;0
196,883;2909;697,0768;2;0
238,6825;3529;651,3767;3;0
231,9544;4338;809,5239;2;0
225,8944;5416;1107,778;0;0
182,958;4868;932,2958;0;0
226,7154;5197;1055,363;0;0
225,3958;5460;1102,75;0;0
281,749;3699;749,3936;3;0
206,6462;5525;1001,82;0;0
245,5884;3520;655,1095;3;0
295,1851;3697;806,6198;3;0
279,7922;3772;703,1771;3;0
190,4484;5317;1008,214;0;0
231,7526;5374;1015,178;1;0
