Time;NumMsgSent;Distance;NodesLost
134,9368;3322;677,2758;0;0
135,0551;3322;678,8699;0;0
135,1791;3322;680,5715;0;0
202,5406;4118;628,9339;1;0
316,4535;6044;997,9285;1;0
253,4505;5528;1174,431;0;0
134,92;3322;679,5878;0;0
168,2485;3605;782,2797;1;0
136,12;3347;697,1156;0;0
247,5018;5348;1043,928;0;0
134,9542;3322;678,7738;0;0
135,919;3338;674,3991;0;0
285,9191;5958;1320,023;0;0
600,0143;9706;1672,174;6;2
135,4222;3322;679,5825;0;0
135,8893;3338;673,3866;0;0
136,42;3348;682,9811;0;0
136,3527;3338;674,1535;0;0
135,7533;3328;675,0037;0;0
194,4213;4011;653,1985;1;0
225,0944;5020;1031,573;0;0
209,9585;4661;1011,747;0;0
136,9869;3354;681,2993;0;0
136,4927;3358;679,4581;0;0
247,2921;5365;1041,239;0;0
134,9425;3322;678,3267;0;0
139,6434;3394;662,9973;0;0
134,9352;3322;677,6153;0;0
136,3546;3338;672,4241;0;0
289,9587;5571;853,3181;1;0
136,3793;3338;677,6218;0;0
136,469;3358;677,3007;0;0
134,938;3322;676,4264;0;0
136,3097;3338;678,9567;0;0
136,9721;3354;681,8203;0;0
273,1291;5751;1162,127;0;0
239,5091;5195;1130,19;0;0
244,1871;4908;935,079;1;0
600,0156;11377;2225,694;6;2
134,9801;3322;676,5279;0;0
