Time;NumMsgSent;Distance;NodesLost;Targets_left
410,7309;6355;1300,62;0;0
366,5463;6173;1069,213;1;0
545,6056;7191;1273,472;1;0
153,7713;1845;503,5807;2;0
570,6206;7190;1264,513;2;0
221,888;3055;821,2433;2;0
379,8631;3815;910,9026;2;0
354,4302;5367;1226,699;1;0
465,4005;5511;1104,139;2;0
257,2473;2916;511,8609;2;0
215,627;2556;751,6831;2;0
344,5022;5251;1137,032;1;0
177,8563;2329;663,7861;2;0
368,32;5054;1112,57;1;0
253,836;4005;886,2581;1;0
196,5797;2345;697,7125;2;0
319,8313;4576;864,8334;1;0
177,789;2329;664,5804;2;0
232,7003;2023;841,5287;2;0
384,4653;6426;1289,307;1;0
221,975;3065;824,2216;2;0
326,0922;4239;859,114;1;0
384,0562;4969;1005,971;2;0
263,7046;4186;1114,689;1;0
600,0085;7578;1118,112;6;4
364,6897;5555;1213,382;1;0
600,0081;2150;618,7814;6;1
387,1803;6450;1337,621;1;0
179,0034;2753;793,837;1;0
401,1046;6942;1318,014;1;0
278,871;3776;952,3879;2;0
