Time;NumMsgSent;Distance;NodesLost
231,8944;3809;719,645;1;0
349,9872;4954;862,1052;2;0
600,0274;9752;984,1827;6;4
299,4202;5200;937,0099;1;0
600,0214;7181;477,7336;6;4
600,0298;10045;438,8765;6;5
600,0037;9032;1445,447;6;1
278,6278;4866;890,2365;1;0
282,8915;4835;891,9079;1;0
310,8909;6814;1359,254;0;0
600,0142;9650;865,3954;6;3
600,0036;8876;1319,534;6;1
600,014;9315;698,8137;6;2
350,2172;4595;768,3134;2;0
277,7001;4814;845,0322;1;0
209,4688;2808;489,7264;2;0
600,0324;9052;853,423;6;2
303,6553;5214;934,5126;1;0
314,0779;5241;1019,19;1;0
600,0024;8960;979,0265;6;1
295,7974;2421;794,0739;2;0
600,0069;8658;1577,225;6;1
239,0236;4306;862,2296;1;0
307,5121;4046;722,3088;2;0
210,3587;3080;677,7173;2;0
285,4712;4903;891,7672;1;0
600,0215;7183;498,3337;6;4
600,0331;7936;1417,257;6;1
321,3454;4034;775,7446;2;0
320,4725;5098;884,7085;1;0
338,1213;5375;956,3478;1;0
267,0461;4521;961,5183;1;0
259,0241;4312;952,8091;1;0
187,0768;3373;653,7507;1;0
600,0067;6074;940,1484;6;2
