Time;NumMsgSent;Distance;NodesLost
138,2654;3370;685,7834;0;0
134,9091;3322;676,0437;0;0
135,8212;3338;672,713;0;0
136,5678;3362;681,792;0;0
136,2758;3348;675,8302;0;0
136,5953;3352;676,2993;0;0
128,2341;3216;693,4749;0;0
256,227;5455;1194,393;0;0
249,0902;5049;962,5884;0;0
287,6539;6070;1232,588;0;0
192,9566;4266;784,5986;0;0
136,2042;3338;681,7177;0;0
245,0684;5086;933,6624;1;0
600,0265;11248;2105,527;6;1
136,3551;3338;678,7723;0;0
285,9951;6097;1227,127;0;0
135,7527;3338;670,3221;0;0
131,5537;3273;702,2864;0;0
137,0204;3354;679,8176;0;0
271,292;5708;1184,043;0;0
199,4871;4625;914,9769;0;0
136,5178;3368;676,4668;0;0
212,8346;4639;1032,848;0;0
600,0228;11299;1967,471;6;1
256,863;5450;1211,531;0;0
136,4796;3338;680,6879;0;0
184,3404;4156;735,4236;1;0
136,3856;3338;675,7813;0;0
136,0021;3338;673,0452;0;0
156,7998;3769;821,861;0;0
135,823;3338;676,4195;0;0
156,5914;3751;755,6201;0;0
600,0067;11157;2065,815;6;1
167,2993;3940;802,9404;0;0
203,7287;4462;906,2401;0;0
135,0963;3322;679,2245;0;0
600,0272;11839;2153,33;6;4
190,369;3945;677,6508;1;0
136,1941;3338;678,3728;0;0
600,0063;11318;2001,369;6;1
