Time;NumMsgSent;Distance;NodesLost;Targets_left
366,8618;5433;1859,69;0;0
205,1858;3368;541,8932;3;0
166,1932;3115;854,6188;0;0
320,8672;4465;1465,505;0;0
202,8618;3861;1125,194;0;0
182,1722;3419;966,8398;0;0
153,9112;3013;799,6674;0;0
217,8898;3110;844,9076;1;0
244,5458;3963;1127,085;0;0
220,8726;3805;1078,426;0;0
285,5469;4520;1295,64;1;0
417,1835;6231;1641,336;0;0
326,2033;5212;1513,158;1;0
170,8965;3180;930,9984;0;0
229,1897;4267;1283,242;0;0
250,8694;4218;1338;0;0
224,5288;3907;1184,72;0;0
232,8706;3661;984,7056;1;0
312,9731;4232;1024,349;2;0
243,8466;4248;1263,615;0;0
206,2067;3726;1079,368;0;0
233,5118;4236;1268,842;0;0
223,866;4089;1121,062;0;0
132,5253;2709;695,4208;0;0
283,8713;4607;1408,857;0;0
248,1986;3949;1236,328;0;0
165,5237;2860;718,7321;1;0
305,5275;4997;1641,898;0;0
188,1209;3441;996,6983;0;0
257,1888;4603;1394,143;0;0
268,8724;4714;1416,866;0;0
721,0925;6566;1694,438;2;0
207,2079;3807;1131,146;0;0
204,1838;3830;1122,447;0;0
267,1825;3574;878,5494;2;0
199,8757;3519;961,3035;0;0
190,8728;3125;675,4788;2;0
270,884;3879;1152,975;0;0
245,2013;4399;1340,916;0;0
241,862;4275;1280,832;0;0
316,2085;4609;1432,032;1;0
279,5355;3590;1063,602;1;0
248,1678;4294;1266,929;0;0
212,1934;3758;1029,912;0;0
375,8664;4765;830,3032;3;0
425,2715;6750;1742,774;1;0
155,8865;2873;716,0184;1;0
264,5432;4325;1243,343;0;0
259,8625;4399;1183,292;1;0
329,8262;5371;1695,229;0;0
202,5166;3706;1022,64;0;0
271,5315;4643;1384,869;0;0
168,8592;3246;904,7589;0;0
223,553;4080;1218,19;0;0
166,5598;3042;764,3607;0;0
254,221;4509;1245,389;0;0
289,8655;3747;755,0847;3;0
